entrez,Human
19088,5577
432940,90268
53627,64840
16974,4040
226359,165257
192196,51631
18761,5588
67534,9654
16330,3633
208228,126308
54353,8935
21391,6916
68259,57560
16642,3822
18439,5027
20491,6503
100273,114883
20340,2734
11569,121536
75763,80067
99683,10427
18984,5447
67702,284996
27059,152503
24057,26751
17130,4091
12167,658
12166,657
12168,659
67245,57162
243897,199720
67030,55120
68776,6882
99730,6884
16491,3738
11792,328
15114,9001
13197,1647
30954,10572
17528,4359
269116,23114
68098,25898
50492,7064
64704,27429
13367,1729
108100,10458
56430,6249
233977,8500
26562,23154
66181,55505
17966,4077
114716,200734
14679,2773
14677,2770
69077,5717
73991,51062
22344,7716
330627,9866
20937,6839
67224,55588
66315,57337
22334,7417
12018,578
14121,2203
216859,9744
225164,57534
13389,10683
110886,2558
16403,3655
192897,3691
16779,3913
11502,8754
18044,4800
26423,2516
20184,51720
20610,6612
75234,127544
216724,80230
22282,7392
15975,3454
20423,6469
15945,3627
14190,10875
21354,6890
56417,103
17329,4283
68662,92304
230904,26232
84506,57817
23918,3615
69922,7444
21802,7039
14366,8322
14369,8324
71664,196410
56529,23478
231876,22853
19730,5900
20288,4481
68964,80169
21420,7022
17341,168620
15434,3232
229663,7812
66998,5711
71729,6002
67088,23066
18613,5175
12562,1003
13505,1823
19281,11122
93695,10457
13199,23109
19823,9616
19951,6161
66797,26047
13992,10656
320150,23390
217980,23185
13845,2049
109006,57019
30926,10539
13009,8048
15439,3240
70381,25851
14786,2886
229675,54665
623046,84075
14163,2245
16485,3736
16498,8514
19386,5903
13380,22943
13798,2019
76938,84991
117599,92797
208677,84699
382913,252969
18685,10745
224065,257313
64295,83590
17260,4208
54131,3661
121021,1464
50932,50488
52024,118932
20259,85477
66713,10097
22762,23414
19014,5469
15214,23493
66180,10609
107723,9990
80297,57731
50501,60675
19337,9363
53868,57111
76332,22796
21339,9015
21341,9013
110862,3786
16536,3785
56226,83715
171543,90427
12122,637
20449,6489
242248,55024
66898,55971
56305,23760
14299,23413
20495,6557
12190,675
208836,55215
330554,22909
191578,113510
54601,4303
232944,57787
15235,4485
76486,54742
22724,51043
21917,7112
17193,8930
381813,56341
76686,25999
108686,55704
19041,5493
228775,57761
54611,5139
606496,2931
22129,7267
15507,3315
98432,23239
51789,10188
12017,573
320795,5585
225898,256364
226830,56950
78455,9931
16186,3561
263764,200407
12633,8837
27406,55324
12237,9184
14464,140628
16364,3662
14462,2625
80280,80279
77006,65992
330914,9743
20355,10505
319504,4897
26557,9455
18526,57575
70530,57497
16975,7804
226251,3983
11838,23237
13383,1739
14544,9615
69635,1612
20608,6754
20605,6751
20606,6752
26456,57715
17756,4133
14362,8321
57265,2535
53413,23265
386649,55968
73333,83447
17904,4637
71853,10130
14086,6624
22335,7419
21672,7001
18642,5213
14686,2780
15473,10247
16453,3718
20320,27020
11941,491
216856,57555
74007,121551
16520,3761
72290,134353
214579,7915
72542,192111
66514,80150
105653,9796
56421,5214
74342,347730
70974,283209
76614,10989
244310,9228
20511,6506
19056,5532
22151,7280
625249,2879
11676,230
14678,2771
58810,10327
20044,6208
18102,4830
11429,50
53602,3241
12799,1267
14555,2819
70025,11332
57138,57468
226646,4720
69219,23576
12974,1431
67003,7385
70620,7336
66988,51056
232227,9922
234267,2823
14688,2782
56216,112755
14813,2905
13682,1974
12631,1072
233870,7284
13424,1778
102278,27132
14696,59345
20910,6812
16513,3766
11496,53616
50799,10165
17754,4130
108069,2913
50876,29767
12034,11331
20916,8803
14802,2893
53623,2892
12971,1428
19173,5693
228836,22839
245537,54413
243634,57101
241568,57689
225875,78999
83964,83700
54725,23705
93742,56288
72330,131377
235041,25959
16688,3854
319263,115294
26921,9448
106877,134265
16687,3853
67561,57599
235497,123169
22388,9948
18771,5316
68328,5872
13198,1649
74025,27031
110308,3852
18557,5129
12721,11151
12345,832
12343,830
22152,10381
19230,5756
13839,2044
13842,2046
20297,6364
77286,55922
17865,4605
330361,6936
11907,11101
56437,6236
22004,7169
66935,9541
108156,4522
231464,246175
104263,55818
107885,10588
22376,7454
11487,102
80749,57622
29857,6300
20272,6332
192198,64101
56378,10094
74016,26147
12995,1457
11803,333
13518,667
81907,66000
212073,161176
17523,4353
17386,4322
23999,11344
11793,9474
66734,84557
55978,90410
77407,11021
19182,5702
22057,10140
16169,3601
21843,7073
108837,25998
192663,64137
18739,9600
192167,22871
72693,170261
23856,11083
102060,90480
55934,6100
320484,64926
19172,5692
330474,23211
53610,4841
19935,6150
12143,640
252870,7874
107815,10389
20515,6574
19326,9230
22437,165904
75646,26064
107686,6633
20269,6328
12355,9970
76044,54892
26396,5605
14735,2239
67057,10138
20400,4068
15211,3073
15212,3074
224727,7917
263406,26030
233107,79047
21943,8600
223915,319101
269378,191
216987,55813
108723,84433
71330,55213
15353,10362
66867,10363
21353,10010
22029,7185
22401,64393
227738,90678
231712,10906
21416,6934
21415,83439
29875,8826
59040,55288
83945,9093
21942,3604
12366,835
22036,10293
28018,56061
16681,3849
328795,53347
215061,135892
210789,9882
16400,3675
15982,3475
71982,29887
16525,3775
16477,3726
381319,55509
216795,7483
15959,3437
170829,9697
14230,60681
14734,2719
13052,1525
14615,10052
77018,84570
67847,9627
19744,6009
65971,219793
22200,9039
11421,1636
18186,8829
434246,493829
239027,58504
67887,51669
208718,129563
17454,4343
72162,170506
20823,6741
69072,10969
56200,9188
56449,8531
140486,10642
230721,8761
17319,4282
20085,6223
223870,29843
94093,51592
14582,8328
12873,1359
17191,8932
67500,55749
16211,3837
67488,57658
11517,117
16000,3479
57330,64599
20418,53358
66720,317719
22259,10062
56809,10691
14629,2729
14630,2730
22066,7223
11855,394
70673,63976
217194,55175
69994,6248
229700,64783
20192,6263
110074,1854
56461,30818
66603,8487
14829,2925
19739,8787
18386,4985
67775,64108
217124,84687
15499,3297
227606,387332
19289,9543
192656,8767
74256,1540
332579,64170
243300,222950
83767,8936
56360,23597
99480,30836
17318,4281
18518,3476
68041,58526
208043,23067
12661,10752
53870,27255
19262,5786
11501,101
27278,116449
22634,5325
54384,9108
11606,183
75805,57486
12709,1152
14766,9289
217232,996
56317,51434
78829,81628
21807,8848
56173,23562
18109,4613
50849,9921
56195,58155
231386,91746
229521,23208
268741,9878
15388,3191
74132,6049
286940,2317
109272,4604
67177,81620
19684,5962
19222,5739
16886,3985
16885,3984
73945,54726
52055,26056
234740,79583
232987,80776
103765,200728
67978,79867
654470,79600
330171,83892
231214,57545
65254,56896
12933,1400
56194,55660
241134,57624
74201,79598
101565,9738
17918,4644
108071,2915
72179,25827
21454,6950
14432,2596
19055,5530
16678,3848
110876,6326
14118,2200
83946,55023
116837,22999
116838,9699
26875,27445
56508,11069
228993,63910
12159,652
21808,7042
14563,8200
56213,5654
229004,26205
13394,1748
94275,9500
229731,29957
77629,80309
319565,23224
77053,23353
230917,199953
21969,7150
15258,28996
109934,29
230863,400745
16433,50624
56531,56252
19276,5799
19275,5798
69878,6636
75617,6230
77733,81790
70427,54531
378462,729967
17215,4172
17218,4174
17216,4171
17220,4176
12009,22994
329581,79444
20130,6237
14672,2767
19261,140885
60409,51399
235320,7704
20230,6304
17938,4666
12180,150572
27225,57062
50706,10631
30945,25897
63958,10277
140629,22888
12364,100506742
12371,842
75744,258010
12757,1211
19053,5516
19252,1843
116891,51009
19090,5591
19359,5887
217365,55666
70361,3998
52231,55139
17906,4633
76652,84517
73738,55559
51944,90417
71923,54785
18004,4750
50933,7347
246103,6314
242667,58512
17300,2296
54132,9124
320405,93664
20304,6352
12774,1234
12773,1233
20295,6361
228998,55738
76580,142678
56395,11070
12042,8915
20482,6498
71924,51175
68652,23118
108079,5563
414084,79931
26564,4920
26399,5608
240354,10892
11797,329
114713,5922
69047,9914
11827,359
20912,6814
23828,11149
84113,53635
170762,9631
69617,10531
170788,23418
21682,7006
20869,6794
22349,7429
59024,9968
14270,23380
73647,10753
406220,374454
80718,5874
13858,2060
71770,163
15463,3267
13859,58513
73094,84251
84092,9101
11771,160
20200,6277
14228,2288
236266,7840
60595,81
234959,9440
77055,51350
18796,5330
16906,4001
70239,9328
216190,55198
72674,51094
11450,9370
17826,23625
226751,8476
18772,5317
223828,51535
21418,7020
84035,83999
332937,339488
12468,10574
67845,27246
64011,4900
223917,338785
17533,4360
67252,10486
319520,1846
52705,11103
69698,113278
69554,23588
232087,4144
67298,9737
332131,196374
52250,65055
56418,10652
53334,9527
23833,1043
76510,83696
75964,22878
69281,132851
215114,3092
20116,6202
269610,26038
116871,57504
19357,5885
19130,5629
12589,28981
76568,56912
27205,5420
12028,581
100756,84749
170731,9927
28075,27351
83962,53339
21665,6996
19659,5947
106298,54700
19891,6118
64685,9111
74026,339287
72354,7268
238799,3842
13204,1665
54723,24144
12501,916
22324,7409
12503,919
93834,57161
19766,8737
13382,1738
12010,567
14159,2242
29811,57447
21762,5708
71137,5992
67037,11243
78894,65985
14635,2584
14387,2548
74205,2181
433256,51703
11812,341
23996,5704
21817,7052
66809,54474
21951,8658
16568,11127
140858,11091
81896,55764
14300,2483
16782,3918
16773,3908
18074,22795
226519,3915
14115,2199
14912,84504
213990,116988
23900,10870
23845,23601
93837,117154
17349,4291
68097,140735
16668,3875
12790,1261
71567,254394
66880,51319
192231,10614
17149,4116
67996,6431
21841,7072
57764,59277
207667,390598
18099,51701
17863,4602
20737,6693
16871,8022
14263,2330
18159,4880
72042,23406
56706,57018
12537,984
69562,8621
80861,79132
217864,23186
66075,54927
98402,23677
21781,7027
13557,1871
73804,11004
11898,445
18438,5025
109910,80829
65019,9349
109270,55615
20104,6194
75747,143686
71927,81533
56354,7266
140630,9354
219103,55835
11655,211
17936,4664
64424,64425
13018,10664
70333,10849
20166,6242
12704,11113
11804,334
110596,64283
192232,89781
103841,404093
12316,259266
74187,10300
211401,9788
58208,64919
22278,7391
12904,1382
16161,3594
55927,55502
22339,7422
20339,6401
76793,79753
77569,22998
66917,26973
19060,5536
57257,10451
69769,79626
240518,246330
18226,23636
19652,5935
67891,6124
72313,285527
75420,79048
235036,56342
28135,80254
234964,159989
13800,55740
232934,339344
67863,8402
110789,84059
72088,10083
17921,4647
27276,58473
16470,124590
73750,25861
58521,23741
234069,55795
19732,5863
72057,55274
20055,6217
77799,84174
231103,2646
73368,57642
74901,9920
97761,9905
68875,9911
68775,245973
67048,203547
226849,5525
109676,287
269593,7798
347722,116987
232925,388555
101883,79713
27386,64067
64654,8074
329416,115677
101543,126374
170729,83482
104759,122618
69159,121268
52276,55143
58240,64342
15163,3059
223690,129138
17274,4218
19144,5653
11287,5858
76626,124540
67981,84072
53376,9099
21853,8914
93687,1452
18628,8863
22258,7375
53605,4673
26893,10980
65102,60491
107769,53346
11740,292
194974,256979
110835,1138
11438,1137
72585,116372
11440,8973
23936,66004
15245,64399
22174,7301
26420,5601
22420,7475
232943,147700
16593,3831
16594,64837
66884,10513
75914,23233
24015,6059
75863,339390
23821,23621
26918,10595
235542,5523
53379,3181
71492,55212
13430,1785
11852,388
67579,80315
224224,50939
107449,219699
56429,1805
18103,4831
20351,64218
244448,339976
209239,8139
17312,10462
66357,58505
17169,4140
54126,8874
14389,9846
19700,28954
14579,2669
140743,161253
20621,8303
14580,2670
225870,9610
12325,818
76089,9693
20739,6708
18574,5153
108888,55210
16574,3800
77097,26115
110279,613
70661,23387
21787,10342
15526,3313
13829,2039
18641,5211
235283,57476
19418,5924
18573,5136
235604,79012
242662,9783
55992,10612
12259,712
111173,23085
71240,114881
228550,3706
18125,4842
102098,23370
170718,3420
226180,9118
16800,9181
64436,56623
66049,79641
227753,2934
207615,22884
235339,1737
17196,4155
18749,5567
26558,9454
77579,4628
68263,5162
229949,26289
269700,283450
14026,51466
268980,6801
67299,85440
327799,84101
26370,1069
12228,10950
19286,5805
20913,252983
78808,134957
13447,8447
71228,9231
74039,150372
59027,10135
242425,9568
76071,152789
54393,2550
59021,5862
233826,79728
26441,5685
11640,8165
65079,65078
12569,8851
72993,26060
16969,51341
231003,339451
16548,3795
54200,6820
27385,54551
18053,4804
12879,192668
225020,9637
18744,64219
320678,25900
74164,4799
20933,6837
19298,5824
15161,3054
13191,1639
52163,8536
216527,83605
27057,8031
29867,9478
70432,55680
73379,131566
109205,55084
215387,23397
76959,51510
18220,4924
71310,23158
98932,10398
26360,23452
75608,128866
23994,9802
12558,1000
105670,1102
70024,55388
50797,9276
107829,8563
227325,92737
68047,84954
73173,54510
73916,55081
16777,3912
66521,51389
13495,1819
54524,148281
94184,23042
14775,2876
60534,2189
14087,2175
11632,9049
66254,27292
14807,2899
12308,794
14181,9982
14178,2252
105675,10105
211286,1203
268294,9841
14842,219409
16391,10379
19385,5902
18606,5168
101314,55845
19218,5733
67040,10521
94223,54487
20677,6659
22791,27000
72194,84961
106052,26272
50789,26224
30838,6468
50764,201456
30839,54461
103583,23291
268882,200933
66822,26260
29808,23269
545622,5774
245007,253461
17926,4653
13867,2065
20618,6623
22359,7436
18475,5049
243725,55607
170758,5881
68095,54940
73046,51218
50995,10054
22780,22806
67573,84171
106042,144165
74617,59342
228607,57506
56371,51343
73251,80854
11921,474
108672,158866
18012,4760
56404,9325
268301,65124
68298,9918
19192,10197
27050,6188
53356,8666
68988,26121
23997,5719
101943,23450
69263,5983
70439,8148
224105,5062
22187,7314
20289,642658
12396,9139
56619,26253
73668,79809
69638,375704
268697,891
12476,977
268465,146956
16180,3556
74126,84447
224170,9666
27015,51426
22084,7249
13685,1978
20683,6667
14282,2354
69726,64754
170822,23032
71861,151112
67760,54407
330953,10021
109075,54512
236511,26523
59004,51588
228361,55626
74288,374768
211323,3084
57314,51497
20276,6337
76281,30851
26401,4214
330938,85458
116848,11176
217578,11177
15166,610
99152,29882
19268,5792
22589,546
24061,8243
13006,9126
51869,55183
15468,3275
56321,26574
83396,84662
16973,4041
19127,5626
73016,79412
93897,11211
22418,7474
17932,4661
21412,6943
17120,8379
14674,10672
70110,3430
67220,51177
71954,64426
20687,6670
17428,4335
229542,57459
56070,10915
20595,6606
19712,5978
233490,58487
15378,3172
72416,10128
104015,8867
16402,3678
17883,4621
21872,7082
214162,4297
20389,6440
53975,11218
23988,5300
17248,4194
654824,353322
211770,10221
217410,28951
13642,1948
19126,8842
67023,55850
13684,1977
24068,10011
99890,55170
224619,84231
11472,88
24131,11155
76022,54856
75605,10765
13494,4733
54343,55729
12978,1436
12751,1200
58230,9025
77113,11275
17237,23295
22088,7251
18817,5347
12539,11140
16370,8471
65255,51666
13002,80331
52551,6449
224826,23304
20497,6559
22668,7536
18740,5307
12524,942
68119,123920
12051,602
13193,1641
22284,8239
233908,2521
22695,7538
17444,9402
226041,5239
21677,8463
11666,215
18160,4881
67087,56998
11546,10038
18481,5063
245527,60401
236643,94122
12520,975
26400,5609
60597,23542
12478,930
12494,952
77945,57096
16542,3791
76500,51447
18260,100506658
74244,10533
67841,64422
72183,58533
27261,79930
14634,2737
26447,11201
71890,10459
80794,23624
14200,2274
72049,115650
23797,10000
27056,3663
20411,10580
26926,9131
14852,2935
12367,836
78309,23113
19139,5631
170737,84937
15257,204851
69188,55904
16579,22920
16569,9371
70603,4595
19989,6129
278507,124857
12571,1021
77963,51361
11735,288
27007,22914
109145,84296
56488,29107
237082,55916
53319,10482
83454,56001
27528,9315
12622,9350
140477,127343
26414,5602
216440,10956
12891,9362
108030,8825
11303,19
268656,10558
77116,8898
319934,81846
67784,23129
66654,56158
72938,51668
76779,23059
245866,51098
67042,11020
64009,23345
12029,255877
54354,83593
327826,10818
11689,240
233651,8642
27364,63826
140546,79033
19361,5888
244813,390259
380713,8578
71816,285671
17161,4128
22214,7328
19229,2185
66853,57104
77134,10949
17919,4645
74998,22841
242570,55225
238057,151449
170930,6613
80707,51741
19876,6091
11785,322
16814,10660
12877,64506
12050,599
110834,1136
12951,1406
23958,10002
232906,2909
244349,7994
17955,4676
18751,5579
229603,56957
71472,10869
20479,9525
68953,27243
65960,57045
14924,9223
12549,57514
14226,2281
18701,5281
19042,5494
67772,57680
56278,80318
17356,4301
170935,392862
73230,168667
13175,9201
66131,54962
233071,115703
17164,9261
102626,7867
66341,493861
69642,90523
93699,56104
93700,56103
20257,11075
75387,23409
110829,3987
57342,55742
11419,41
11418,40
116731,56147
20681,30812
11441,1139
18010,4758
16351,3652
16952,301
26903,8291
59001,54107
193034,7442
22630,10971
13388,28514
54485,54567
19216,5731
24055,6452
20878,6790
56217,64398
76742,81609
67469,51099
14451,2619
67025,6135
14457,8522
16765,3925
67414,55669
58911,285362
20678,6660
74499,50964
22380,11193
215031,245806
12300,10369
26549,26548
67955,10910
23939,5598
20383,6428
13628,1917
16647,3838
12395,862
13490,1814
94091,81559
76257,10991
57810,50937
108961,79733
73699,5519
20419,79801
19387,5905
207920,54845
243771,64761
12257,706
319974,26053
73178,8976
20194,6281
20585,6596
54644,55593
22160,7291
22670,7726
67773,84148
13728,2011
67968,441161
12518,973
102866,5358
12759,1191
20690,6677
30931,1861
18003,4739
213988,23112
217351,57690
14528,2643
77630,56978
71943,10040
16533,3779
75302,55252
20239,6311
67443,81631
66795,83734
66586,54675
18813,5036
13617,1909
70834,9043
74334,57610
50905,55540
215789,9749
64214,64407
16502,3746
192160,22794
71893,124056
105782,23513
105445,23348
210293,55619
22772,7546
11538,23394
246746,146722
21813,7048
52822,22902
22341,7424
233863,2975
20174,10856
56505,8607
30946,29777
68275,6117
18973,5426
18971,5424
20962,50511
56291,6815
23877,84922
66978,55692
22433,7494
21940,939
279766,25807
66889,79589
12142,639
13483,1804
215690,89796
223435,7204
244431,137868
116701,53834
12572,1022
19159,9265
232288,23150
13836,1969
19769,6016
71746,57139
56199,23456
77125,90865
14155,10116
18095,4824
140494,50617
240752,5287
20657,6649
215445,9727
268448,57649
72323,140459
230126,6461
66826,6901
229317,83939
56307,10988
70790,51366
52882,401190
12591,1045
384569,4858
664883,4857
11891,5873
20679,55553
56310,2874
19726,5991
69564,27231
16922,5264
66593,56616
54667,57198
18175,4892
18504,5076
18715,11040
12236,701
18588,5148
380714,9501
230103,4882
11480,92
18227,4929
12577,1028
29871,22955
69090,51008
66141,10410
67341,121549
72508,6198
16598,10365
16599,51274
22068,7225
78803,286151
56455,8655
13855,22905
19156,5660
19771,6017
17877,4617
15168,57657
226823,51133
19356,5884
68292,201595
29806,8994
74374,23274
66354,22938
11737,8125
13560,1877
319955,2074
17772,4534
21981,23368
53611,143187
19417,5923
13846,2050
18414,9180
217166,9572
15107,3033
67948,23219
225010,253558
16493,3741
73296,22836
52864,84464
13870,2067
226098,143279
11642,10566
17970,4688
14373,50486
574402,2840
58861,10800
171463,54756
19225,5743
108911,55920
17283,4221
12283,51719
69368,57590
56710,1620
241576,143458
15248,3090
58206,27033
19894,22895
171531,79083
15512,3306
70925,55602
245886,84079
210035,23306
17279,9833
69837,84759
14897,9320
194352,56302
30843,54850
22003,7168
215351,26054
225326,5289
108155,8473
381305,149041
71718,9894
15567,6532
68703,473
11816,348
18141,10762
353155,125111
14191,2268
20723,5272
71521,23244
56085,29979
66671,902
107607,10392
20893,8553
22186,7311
22781,64375
26444,5688
19179,5700
28000,27339
19184,5705
18432,10514
20564,6586
229791,9890
77219,145482
19089,5589
330863,440730
94090,114088
100732,22924
260302,23163
27428,57619
243621,440073
30941,27005
56742,84722
58799,51185
104156,2119
242785,9903
67819,79139
227334,55230
109294,80243
14711,27232
212167,54103
14000,29102
381511,54704
15572,1996
27041,10146
244281,23026
78889,26118
19106,5610
80890,23321
56289,11186
14245,23175
20319,6423
26563,4919
15505,10808
56292,8260
27096,27095
66743,55182
214899,5927
16826,9079
16872,89884
16876,56956
16911,8543
16918,4610
17119,4084
17121,83463
17133,23764
17219,4175
17285,4222
18029,4782
18089,159296
18124,8013
18171,8856
18393,4999
18515,5089
19668,11317
20017,84172
20021,5432
20592,8284
21350,6887
21384,6913
21422,7024
21428,6945
21676,7003
21678,7005
21685,7008
22722,55734
22771,7545
23894,2966
24113,25806
26356,3621
54422,56751
56805,10009
60611,55810
65257,51130
66970,23635
66980,64429
69790,90390
70392,142689
71828,11036
71834,23099
71949,91012
72135,26108
74197,2960
78910,142685
78912,6668
81630,9278
83602,2957
100090,3104
103806,9794
170787,83933
216154,10025
217082,3131
226896,83741
69260,3622
17937,4665
14049,2139
17872,23645
20379,6424
20378,2487
17933,23040
98386,3930
50794,51621
664799,140690
11568,165
11694,257
11923,58158
11991,3184
12226,694
12705,4435
13170,1628
13395,1749
13661,26298
13983,2100
14236,3344
14884,2965
15220,94234
15273,3097
15401,3201
15403,3203
15407,3211
15413,3215
15414,3216
15423,3221
15424,3222
15425,3223
15429,3231
15438,3235
15460,55806
27049,2117
232811,84787
225888,51111
54124,1163
97165,3148
59020,5174
170761,79849
21399,6917
13347,1676
54609,29978
14080,2168
53424,7257
100986,10142
72236,55815
20568,6590
194590,9185
22787,7783
13644,10278
57440,30845
12922,1395
17532,22808
71766,125950
19893,6103
54004,1730
56715,27342
12450,900
26891,51138
18020,84901
243084,28983
14681,2775
18559,58488
19205,5725
12296,783
16322,3623
26397,5606
58184,9125
14051,2070
67526,9140
12961,1415
56792,26228
64384,23410
19224,5742
76800,84132
12772,729230
14260,342184
20265,6323
20273,6334
20274,6335
20264,6336
12555,1013
66711,51119
11656,212
20615,23557
75410,9757
16792,7805
231413,2926
100041194,113146
22682,7763
234214,8470
19373,5896
14602,2692
15288,3145
18935,8929
14702,54331
20215,6295
20672,54345
20669,8403
223227,11166
21908,3195
13368,1677
22671,7732
231051,58508
12014,60468
22323,7408
67128,7326
53323,3093
68845,55011
96979,80142
226594,92241
66968,440503
100088,1104
16846,3952
16516,3772
17451,4342
68051,10204
76707,23332
58522,57159
70160,51028
22194,7324
65115,146227
22377,23559
22378,23558
65116,5639
59009,57630
330149,164045
71538,26268
12747,1195
12465,22948
12462,7203
12466,908
54473,54472
67952,9804
17380,4311
20254,7857
11750,310
59029,10213
194655,8462
16898,6187
23834,990
20675,6658
12812,8161
12837,1295
21954,7137
20390,6441
22040,11277
407821,84133
53380,5716
243548,166336
22422,7477
12223,685
18780,5320
22417,54361
22413,7472
19374,5897
53312,51667
244551,342977
319583,3981
12064,627
18049,4803
19699,5649
12291,8913
22260,7376
81840,57537
276891,91937
56532,11035
74568,197259
21335,10460
16518,3759
50776,11232
22178,7306
76469,202333
21985,7163
21871,23545
15896,3384
18036,4793
56692,8649
331461,11141
15191,3068
12404,869
18566,5133
18208,9423
19416,51655
13527,1837
76299,23071
20280,6342
15904,3400
66999,80306
70247,5707
30044,94233
226422,8934
19266,5789
108068,2912
15558,3356
328789,222662
54698,56253
14466,2629
233405,26276
13000,1459
547253,54625
13640,1946
21367,6900
18008,10763
227648,9919
11444,1141
24071,55333
12359,847
68742,124446
235442,51762
226652,257106
171580,64780
12616,1059
12293,781
11556,155
18591,5155
12511,923
21847,7071
217119,64132
50530,8076
66890,10960
11610,57085
20663,6655
27359,94121
381379,219541
269589,84958
83672,94120
18417,5010
18693,9463
60406,8819
53872,4076
56309,26292
16543,29969
81702,26057
14645,2752
18604,5164
12847,1314
23970,11252
16994,4050
22340,7423
18972,5425
26431,9815
73192,11260
67041,5019
234594,23019
18521,5094
381979,84446
68917,84681
29876,25932
114584,1192
22763,51663
14229,2289
72278,9236
19157,9267
23897,10456
77254,90522
14211,10592
70297,9648
59053,51236
94176,1794
70572,3843
242687,10163
74155,54206
26611,5955
67684,51747
69028,129531
16434,3704
16328,11190
54394,51379
67064,57132
54214,2803
75710,10137
20544,6548
14977,7922
66212,10952
140580,9844
234683,79767
140579,63916
83997,7871
18824,5355
192662,396
11857,397
17969,653361
56697,11216
277360,57580
226169,23082
56233,51564
14020,7813
268977,4052
66155,51506
80914,7371
72309,25907
51798,1891
69684,80755
67530,7381
15387,3190
217026,63897
76809,140707
70675,80124
73914,11213
65961,57050
66912,28969
76895,23299
30853,8079
64099,64098
50781,27122
56440,6642
53761,7916
233406,9055
18263,4953
52469,28958
69178,27131
98752,84824
17972,4689
12331,10487
14268,2335
192176,2316
22245,83549
12261,708
54342,64841
19242,5764
67454,121457
20970,9672
331026,29925
56174,55577
110213,7009
52857,57655
29816,9026
66626,29965
17159,4125
22785,7782
18710,8503
14208,5496
53599,8763
56724,9419
12321,813
23792,8745
53325,54971
58249,9158
14712,8443
17181,4147
74287,56888
15382,3178
432508,11052
67397,10961
27998,56915
170833,29911
98238,55379
68475,8636
27371,9047
21968,10043
240873,8995
18787,5054
268591,5104
69847,65266
17425,221937
56334,10959
53608,9064
23882,10912
11746,307
16204,2172
104418,8525
56632,56848
66335,528
19158,9266
74055,51196
208666,148252
68203,54769
56212,391
216742,96459
231580,2580
26434,23627
226641,22926
21828,7060
103967,26052
67154,92140
56463,27044
74143,4976
20981,84258
60510,143425
53420,6861
54525,9066
55925,90019
54526,341359
217732,85457
14225,2280
67727,55014
13508,1826
20201,6279
18541,5116
12177,665
231830,79778
13169,28988
12492,950
21357,6895
56420,5531
83430,51561
227231,1373
68346,23408
53972,25791
59041,10494
52897,146713
11975,535
53945,30061
12870,1356
13345,117581
54138,25814
170736,29780
11908,466
67451,5318
12826,1282
19735,5997
80752,56975
12728,1184
16456,50848
17086,9437
21897,7096
12489,945
65973,444
69539,388610
17690,4440
18019,4773
108960,3656
22779,22807
23959,4907
78908,3321
630146,9398
54167,29851
20649,6641
20650,6645
11864,9915
100504663,22863
209446,7030
59013,3187
57261,23476
93736,27125
228829,51230
66973,28973
70560,10352
22272,27089
218885,92106
233833,27327
18553,5046
26569,10999
73708,359787
15404,3204
11576,174
14160,8549
59016,57215
18032,4784
73181,4776
56013,80725
70465,79084
214498,79577
209361,83860
16373,79191
94214,9806
15427,3225
15379,3175
15431,3237
244923,401265
14029,344191
68441,10670
19336,53917
76877,9609
58222,326624
50912,5394
71175,25836
16163,3596
22431,7490
74096,84329
58205,80380
22295,64072
11994,65217
14697,10681
12564,1006
14065,9002
15561,3359
12386,1496
102657,80381
17470,4345
20346,10371
399558,23768
21749,7013
237781,125170
239555,54471
235344,23235
16197,3575
23893,64388
207495,80115
17084,9450
17087,23643
234839,9780
58235,5818
71740,81607
58998,25945
19294,5819
246703,128240
18383,4982
194908,201164
12552,1009
15985,974
20358,57556
18845,5362
71670,91703
21835,7069
20866,6786
74178,83931
69310,135138
16519,3760
18846,55558
104831,25930
19734,6004
13830,2040
140571,5365
15289,3146
12305,780
11845,382
19877,6093
74194,390
18221,10726
75665,92558
641340,29982
18792,5328
18767,5569
26972,23626
71436,23767
69146,79792
56327,402
23829,10882
227580,389941
277328,8989
270627,6872
22067,7224
317757,55340
22164,7292
13666,9451
214572,54496
15894,3383
17524,4354
66552,84888
19384,5901
217039,79893
53814,51686
16408,3683
234967,120103
13589,22919
327762,1763
234729,55697
378430,339345
75901,55802
18618,10400
107513,6745
15368,3162
68537,28998
383619,9447
102058,149371
16410,3685
14252,2319
50524,6297
13032,1075
14823,2918
243961,50944
68895,387496
14113,2091
13038,1513
140919,57084
14816,2911
13209,1656
11540,135
23968,126206
74202,54751
56739,9985
211446,11336
13645,1950
50765,7036
233335,23336
98878,30844
245865,6676
192216,83604
98366,60682
16432,9445
19352,5876
193736,221527
22784,7781
71881,57136
16650,23633
16646,3836
76263,373156
14186,2264
15531,3340
71722,23152
58203,81030
93734,255027
208169,285335
271639,55811
208263,26092
229599,148523
68713,8519
12411,875
224109,375387
13057,1535
14257,2324
15893,3382
327987,9969
70420,348110
18127,4846
109754,1727
216799,114548
67276,90459
19704,5976
50783,25804
12835,1293
56335,56339
50878,10734
225055,80204
11491,6868
76273,54602
19888,6101
16560,547
18605,5167
70208,9439
27387,10044
104383,283248
108143,6880
23943,23344
59030,8195
71769,79738
107476,31
20927,6833
268934,2914
108073,2917
11776,8943
329165,10152
76007,7750
20204,51450
20336,60412
268566,10243
14658,2743
